feature,selected_count,selection_frequency,variance_dropped_count,variance_dropped_fraction,correlation_dropped_count,correlation_dropped_fraction,total_dropped_count,total_dropped_fraction,shap_class0_all_folds,shap_class0_selected_only,shap_class1_all_folds,shap_class1_selected_only,shap_balanced_all_folds,shap_balanced_selected_only,permutation_f1_all_folds,permutation_f1_selected_only,permutation_balanced_acc_all_folds,permutation_balanced_acc_selected_only,permutation_pr_auc_all_folds,permutation_pr_auc_selected_only
CTS - LeftBankssts,9,0.36,0,0.0,0,0.0,0,0.0,0.0008914267264558753,0.0024761853512663204,0.0005378209939881565,0.0014939472055226569,0.000714623860222016,0.0019850662783944886,6.658376805093493e-05,0.00018495491125259704,0.000151498707024764,0.00042082974173545556,-0.0005670051506674924,-0.0015750143074097008
CTS - RightSupramarginal,13,0.52,0,0.0,0,0.0,0,0.0,0.000631787909168834,0.001214976748401604,0.0006105940865461102,0.0011742193972040583,0.0006211909978574722,0.001194598072802831,-0.0001789414966095461,-0.00034411826271066564,-8.770935438347539e-05,-0.0001686718353528373,-0.0002760260264227718,-0.0005308192815822535
CT - RightRostralMiddleFrontal,13,0.52,0,0.0,0,0.0,0,0.0,0.0006248171587078615,0.0012015714590535799,0.00041750677384965075,0.0008028976420185591,0.0005211619662787561,0.0010022345505360695,-0.00010273435823734954,-0.0001975660735333645,-9.842983130203563e-05,-0.00018928813711929928,-0.0003460157254941924,-0.0006654148567196009
CV - RightSuperiorTemporal,4,0.16,0,0.0,0,0.0,0,0.0,0.0002386335450900403,0.0014914596568127519,0.0007437221544303599,0.004648263465189749,0.0004911778497602001,0.0030698615610012508,0.0002825132547809308,0.0017657078423808175,0.0002847185855252105,0.0017794911595325656,0.0010886733310379226,0.0068042083189870164
CV - RightEntorhinal,10,0.4,0,0.0,0,0.0,0,0.0,0.0004495881311029841,0.0011239703277574602,0.00048798236955291586,0.0012199559238822897,0.00046878525032795,0.001171963125819875,0.00016722023318120643,0.0004180505829530161,2.081833352168317e-05,5.204583380420792e-05,-0.000592573363314797,-0.0014814334082869922
CTS - LeftSuperiorFrontal,13,0.52,0,0.0,0,0.0,0,0.0,0.00042097269205578186,0.0008095628693380421,0.0003360706881107655,0.0006462897848283952,0.00037852169008327366,0.0007279263270832186,3.6700716735856454e-05,7.057830141510856e-05,5.306711144329697e-05,0.00010205213739095571,-0.00046528617610797226,-0.0008947811078999467
CT - RightLateralOccipital,14,0.56,0,0.0,0,0.0,0,0.0,0.00034320080960382283,0.000612858588578255,0.0003848794102521705,0.0006872846611645901,0.00036404010992799665,0.0006500716248714225,-0.0008511117967587617,-0.0015198424942120745,-0.0009494308435876814,-0.001695412220692288,-0.0006453536165148847,-0.0011524171723480085
CT - RightSuperiorTemporal,16,0.64,0,0.0,0,0.0,0,0.0,0.00026967632193185097,0.0004213692530185171,0.00043940573898697646,0.0006865714671671507,0.00035454103045941374,0.0005539703600928339,0.0004838442523773209,0.000756006644339564,0.0002864783025812777,0.0004476223477832464,0.00012859237302214024,0.00020092558284709412
CT - LeftIsthmusCingulate,11,0.44,0,0.0,0,0.0,0,0.0,0.00038538510395540496,0.000875875236262284,0.00029320032281515105,0.0006663643700344341,0.000339292713385278,0.000771119803148359,-0.00046169405660352657,-0.001049304674098924,-0.00041016993371007003,-0.0009322043947956137,-7.127499573484537e-06,-1.6198862667010312e-05
CT - LeftPrecuneus,19,0.76,0,0.0,0,0.0,0,0.0,0.0002652347359057853,0.0003489930735602438,0.0004123125447751091,0.0005425165062830382,0.00033877364034044723,0.00044575478992164104,0.00019453035940687074,0.00025596099921956674,7.39640922977846e-05,9.732117407603236e-05,-0.0005032682018739887,-0.0006621950024657746
CTS - LeftRostralMiddleFrontal,11,0.44,0,0.0,0,0.0,0,0.0,0.0002693608656397072,0.0006121837855447891,0.00016289206365672462,0.00037020923558346504,0.00021612646464821592,0.0004911965105641271,0.00021553483782044144,0.0004898519041373669,0.0001019159169421649,0.00023162708395946567,-0.0002275644110590518,-0.0005171918433160268
CV - LeftEntorhinal,10,0.4,0,0.0,0,0.0,0,0.0,0.00021304452340479825,0.0005326113085119957,0.00021339870130914336,0.0005334967532728584,0.0002132216123569708,0.0005330540308924271,-0.00038111274583013807,-0.0009527818645753451,-0.00037608458544076856,-0.0009402114636019214,-7.358660850474241e-05,-0.00018396652126185603
CTS - RightSuperiorParietal,6,0.24,0,0.0,0,0.0,0,0.0,0.00021604562186513818,0.0009001900911047425,0.00019391590058524992,0.0008079829191052079,0.00020498076122519405,0.0008540865051049752,1.7234297690526812e-05,7.180957371052839e-05,2.363667302469716e-05,9.848613760290482e-05,0.00018515454702700058,0.0007714772792791691
CV - Icv,6,0.24,0,0.0,0,0.0,0,0.0,0.0001259771496475439,0.0005249047901980996,0.0002767638204229453,0.0011531825850956054,0.0002013704850352446,0.0008390436876468525,-0.000459789253012135,-0.0019157885542172293,-0.00037784750038942597,-0.0015743645849559415,-8.315506621645685e-05,-0.0003464794425685702
CT - LeftRostralMiddleFrontal,14,0.56,0,0.0,0,0.0,0,0.0,0.00021309407467862867,0.00038052513335469403,0.00017956180481020395,0.00032064608001822133,0.0001963279397444163,0.0003505856066864577,-0.00043736732625549194,-0.0007810130825990928,-0.00035792275200145025,-0.0006391477714311611,-0.00038632762015261985,-0.0006898707502725355
